Adrenal_Primary.Tumor_Oncocytoma: GSM117754 364.35
Adrenal_Primary.Tumor_Pheochromocytoma: GSM203678 162.82
Bone_Primary.Tumor_Unknown: GSM76620 146.50
Bone_Primary.Tumor_Papillary.Serous.Adenocarcinoma: GSM53129 744.38
Bone_Primary.Tumor_Osteosarcoma: GSM325828 427.59
Breast_Primary.Tumor_Adenoid.Cystic.Carcinoma,Grade-1: GSM102526 1824.52
Breast_Primary.Tumor_Colloid.Adenocarcinoma,Grade-1: GSM102571 696.08
Breast_Primary.Tumor_Cribiform.Carcinoma,Grade-2: GSM152618 402.32
Breast_Primary.Tumor_Cribiform.Carcinoma,Grade-3: GSM117761 565.98
Breast_Primary.Tumor_Ductal.and.Lobular.Carcinoma: GSM152569 413.83
Breast_Primary.Tumor_Ductal.and.Lobular.Carcinoma,Grade-2: GSM137896 345.78
Breast_Primary.Tumor_Ductal.and.Lobular.Carcinoma,Grade-2: GSM46827 384.09
Breast_Primary.Tumor_Ductal.and.Lobular.Carcinoma,Grade-3: GSM117766 801.97
Breast_Primary.Tumor_Ductal.Carcinoma: GSM102502 787.21
Breast_Primary.Tumor_Ductal.Carcinoma: GSM102534 414.52
Breast_Primary.Tumor_Ductal.Carcinoma: GSM102580 455.97
Breast_Primary.Tumor_Ductal.Carcinoma: GSM138049 1096.28
Breast_Primary.Tumor_Ductal.Carcinoma: GSM152564 284.01
Breast_Primary.Tumor_Ductal.Carcinoma: GSM38086 1039.66
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46820 651.31
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46852 167.46
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46859 764.25
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46869 372.09
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46905 292.99
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46933 473.00
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46947 500.14
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46952 375.79
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46953 522.54
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46954 273.69
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46955 319.59
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46958 661.64
Breast_Primary.Tumor_Ductal.Carcinoma: GSM46962 242.24
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53031 214.69
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53033 1797.78
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53034 203.02
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53035 432.87
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53052 321.08
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53078 502.72
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53089 177.36
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53091 601.82
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53094 343.89
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53095 223.22
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53096 466.72
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53107 812.82
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53110 162.53
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53128 411.83
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53133 402.85
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53134 178.81
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53159 822.63
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53160 293.74
Breast_Primary.Tumor_Ductal.Carcinoma: GSM53187 1095.52
Breast_Primary.Tumor_Ductal.Carcinoma: GSM76556 617.54
Breast_Primary.Tumor_Ductal.Carcinoma: GSM76613 238.23
Breast_Primary.Tumor_Ductal.Carcinoma: GSM88971 945.41
Breast_Primary.Tumor_Ductal.Carcinoma: GSM89014 400.65
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM117687 367.04
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM117759 332.59
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM138031 315.94
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM152585 464.10
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM152713 320.53
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM152781 214.30
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM179806 346.19
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM203693 312.35
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM325795 306.87
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM38080 1358.88
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM38090 503.45
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM38099 1452.68
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM53027 176.93
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM76491 188.80
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM76528 276.76
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM76563 311.80
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-1: GSM89015 372.89
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM102523 586.30
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM102545 287.18
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM102567 451.88
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM117588 510.02
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM117659 335.44
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM117660 465.88
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM117719 140.32
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM117777 577.51
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM137895 240.99
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM137925 730.07
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM137937 426.44
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM137939 243.47
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM137944 396.09
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM137978 217.22
Breast_Primary.Tumor_Ductal.Carcinoma,Grade-2: GSM137984 393.44
